id,name,full_name,age,birth_date,passport_country_names,league,current_team_name,current_team_logo,current_team_color,contract_expires,market_value,market_value_str,minutes_on_field,low_minutes_flag,total_matches,on_loan,main_position,positions_clean,foot,height,weight,direct_free_kick_taker,corner_taker,penalty_taker,player_role,pos_group,goals_avg,non_penalty_goal_avg,head_goals_avg,shots_on_target_percent,shot_efficiency_avg,xg_shot_avg,assists_avg,xg_assist_avg,key_passes_avg,accurate_passes_percent,accurate_pass_avg,accurate_crosses_percent,accurate_crosses_avg,successful_progressive_pass_percent,accurate_progressive_pass_avg,successful_dribbles_percent,dribble_efficiency,progressive_run_avg,real_progression,duels_won,duels_won_avg,offensive_duels_won,defensive_duels_won,aerial_duels_won,aerial_duels_won_avg,successful_defensive_actions_avg,tackle_avg,interceptions_avg,shot_block_avg,conceded_goals_avg,shots_against_avg,save_percent,xg_save_avg,prevented_goals_avg,goalkeeper_exits_avg,gk_aerial_duels_avg,direct_free_kicks_on_target_percent,penalties_conversion_percent,fouls_avg,foul_suffered_avg,yellow_cards_avg,red_cards_avg
-292560,M. Fernandez-Pardo,Matias Fernandez-Pardo,20.0,2005-02-03,Spain|Belgium,Ligue 1,Lille,https://cdn5.wyscout.com/photos/team/public/19_120x120.png,d13627,2029-06-30,0.0,No disponible / 0 €,1904,False,28.0,False,LW,"['LAMF', 'RAMF', 'LW']",right,183.0,72.0,False,True,False,Goal-scoring winger,LW,60.07,62.41,28.38,71.04,49.59,66.71,66.76,47.34,46.65,54.02,43.24,39.68,51.19,71.68,25.82,56.49,56.76,66.83,46.08,57.15,19.61,75.83,29.01,31.52,12.97,8.57,10.11,6.93,36.12,,,35.19,35.19,,,,29.36,31.3,47.04,38.91,73.59,32.47
-282172,Joel Roca,Joel Roca Casals,20.0,2005-06-07,Spain,LaLiga,Girona,https://cdn5.wyscout.com/photos/team/public/1209_120x120.png,ff0000,2029-06-30,0.0,No disponible / 0 €,677,False,10.0,False,LW,"['LW', 'LAMF']",right,176.0,66.0,False,True,False,Dribbler winger,LW,33.22,33.61,28.38,41.94,42.89,39.04,6.61,10.07,37.75,53.38,22.93,42.01,42.34,19.62,16.75,31.29,64.92,85.45,75.55,47.89,75.62,66.03,27.8,46.6,50.27,28.76,62.93,27.81,61.91,,,35.19,35.19,,,,29.36,31.3,40.91,82.83,4.86,32.47
-278430,Gabri Martínez,Gabriel  Martínez Aguilera,22.0,2003-01-22,Spain,Liga Portuguesa,Sporting Braga,https://cdn5.wyscout.com/photos/team/public/165_120x120.png,f62717,2029-06-30,1800000.0,€1.8M,1625,False,29.0,False,LW,"['LAMF', 'RAMF', 'LWB']",right,185.0,77.0,False,True,False,Dribbler winger,LW,53.9,56.04,28.38,84.17,47.02,64.16,39.49,47.34,67.04,25.63,63.5,19.72,54.65,44.62,78.51,66.51,73.24,60.02,82.84,82.09,77.98,75.25,87.33,37.23,34.28,82.77,68.21,61.87,41.55,,,35.19,35.19,,,,29.36,31.3,38.13,54.3,62.03,32.47
-272085,E. Saad,Elias Saad,25.0,1999-12-27,Germany|Tunisia,Bundesliga,Augsburg,https://cdn5.wyscout.com/photos/team/public/341_120x120.png,ad3f36,,3000000.0,€3.0M,1110,False,21.0,False,LW,"['LWF', 'CF', 'LW']",right,185.0,72.0,False,True,False,Defensive winger,LW,22.16,22.55,28.38,39.29,30.26,34.73,6.61,14.54,14.99,62.22,39.03,9.47,7.65,7.73,9.61,71.36,74.21,20.99,12.16,15.55,69.27,24.72,33.97,40.11,60.13,61.08,48.36,55.65,12.63,,,35.19,35.19,,,,29.36,31.3,56.92,55.94,27.86,32.47
-256667,A. Nusa,Antonio Eromonsele Nordby Nusa,20.0,2005-04-17,Norway|Nigeria,Bundesliga,RB Leipzig,https://cdn5.wyscout.com/photos/team/public/3724_120x120.png,ff0000,2029-06-30,15000000.0,€15.0M,1661,False,24.0,False,LW,"['LWF', 'LW']",right,180.0,73.0,False,True,False,Dribbler winger,LW,27.43,27.82,28.38,30.63,33.85,39.04,19.13,25.2,25.74,67.59,49.57,15.99,18.53,79.32,32.42,67.73,79.35,62.67,46.08,47.3,61.06,71.25,14.76,69.07,33.41,29.6,25.43,36.34,12.63,,,35.19,35.19,,,,29.36,31.3,13.72,62.36,4.86,32.47
-220938,Y. Asprilla,Yáser Esneider Asprilla Martínez,22.0,2003-11-19,Colombia,LaLiga,Girona,https://cdn5.wyscout.com/photos/team/public/1209_120x120.png,ff0000,2030-06-30,9000000.0,€9.0M,1618,False,30.0,False,LW,"['LW', 'RAMF', 'RW']",left,185.0,75.0,False,True,False,Dribbler winger,LW,27.43,27.82,28.38,41.3,50.76,21.62,21.52,37.24,55.65,38.66,49.97,72.33,82.65,61.62,71.49,85.54,71.3,52.67,67.78,70.07,42.03,72.22,51.91,52.27,15.21,50.41,28.61,44.65,41.55,,,35.19,35.19,,,,78.97,31.3,22.98,17.27,20.31,32.47
-211604,Dango Ouattara,Dango Aboubacar Faissal Ouattara,23.0,2002-02-11,Burkina Faso,Premier League,Brentford,https://cdn5.wyscout.com/photos/team/public/1186_120x120.png,ff0000,2030-06-30,0.0,No disponible / 0 €,2531,False,35.0,False,LW,"['LAMF', 'CF', 'RAMF']",left,177.0,71.0,False,True,False,Defensive winger,LW,69.11,71.45,73.69,42.56,16.86,87.53,40.85,47.34,52.78,0.38,8.48,37.48,61.96,17.66,35.49,50.77,47.82,38.4,44.12,20.99,50.64,41.32,16.31,67.99,84.27,74.89,55.52,95.15,85.34,,,35.19,35.19,,,,29.36,31.3,38.13,25.62,60.78,32.47
-207272,Bryan Zaragoza,Bryan Zaragoza Martínez,24.0,2001-09-09,Spain,LaLiga,Celta de Vigo,https://cdn5.wyscout.com/photos/team/public/783_120x120.png,679dcd,2029-06-30,12000000.0,€12.0M,1652,False,26.0,True,LW,"['LW', 'LWF', 'LAMF']",right,164.0,61.0,False,True,False,Dribbler winger,LW,4.66,5.05,28.38,22.88,15.69,17.7,18.35,75.67,60.13,18.76,34.84,57.17,80.78,57.91,73.5,36.89,89.66,78.99,85.95,53.41,51.95,79.33,13.09,22.38,3.2,8.08,38.68,4.54,12.63,,,35.19,35.19,,,,29.36,31.3,33.63,58.36,16.34,32.47
-206710,A. Rebbach,Abderrahman Rebbach,27.0,1998-08-11,Algeria|Spain,LaLiga,Deportivo Alavés,https://cdn5.wyscout.com/photos/team/public/784_120x120.png,0e319b,2028-06-30,800000.0,€800K,568,False,11.0,False,LW,"['LW', 'LAMF', 'LCMF']",right,176.0,68.0,True,True,False,Defensive winger,LW,4.66,5.05,28.38,26.2,11.08,30.81,6.61,37.24,8.95,34.31,61.36,29.73,48.66,32.0,44.94,99.8,70.88,62.18,60.6,72.52,86.2,86.97,71.86,31.52,48.06,73.68,10.11,48.91,12.63,,,35.19,35.19,,,,98.25,31.3,98.49,58.36,79.36,32.47
-206347,Léo Scienza,Leonardo Weschenfelder-Scienza,27.0,1998-09-13,Brazil|Luxembourg,Bundesliga,Southampton,https://cdn5.wyscout.com/photos/team/public/308_120x120.png,e73a41,2029-06-30,0.0,No disponible / 0 €,795,False,18.0,False,LW,"['LW', 'LAMF', 'RAMF']",right,173.0,69.0,True,True,False,Dribbler winger,LW,55.33,57.67,28.38,25.62,84.46,14.17,89.95,90.75,80.12,27.88,17.81,23.15,33.59,60.62,41.76,62.61,76.72,79.59,70.72,82.82,74.66,94.4,20.33,7.98,6.06,19.0,10.11,22.3,12.63,,,35.19,35.19,,,,88.22,31.3,65.36,99.33,36.46,32.47
-205174,M. Diakhon,Mamadou Diakhon,20.0,2005-09-22,France|Senegal,Ligue 1,Club Brugge,https://cdn5.wyscout.com/photos/team/public/510_120x120.png,,2029-06-30,0.0,No disponible / 0 €,840,False,20.0,False,LW,"['LW', 'LAMF', 'RW']",right,180.0,70.0,True,True,False,Dribbler winger,LW,52.47,54.41,28.38,67.04,83.44,10.06,39.49,26.37,42.76,30.91,20.65,13.04,40.97,42.41,11.12,86.13,87.52,88.22,73.69,71.08,80.05,89.38,26.55,1.16,1.16,18.15,10.11,9.04,12.63,,,35.19,35.19,,,,29.36,31.3,13.72,61.83,36.46,32.47
-198159,Tiago Morais,Tiago Fontoura Fonseca Morais,21.0,2003-09-03,Portugal,Liga Portuguesa,Rio Ave,https://cdn5.wyscout.com/photos/team/public/1261_120x120.png,24502c,2028-06-30,3000000.0,€3.0M,1705,False,31.0,True,LW,"['LAMF', 'LWF', 'LW']",right,168.0,63.0,False,True,True,Defensive winger,LW,52.47,54.41,28.38,47.7,57.27,53.74,6.61,14.54,12.12,24.06,23.36,51.14,22.84,29.25,63.77,24.15,43.12,24.72,54.39,61.91,54.32,57.33,50.49,22.38,9.18,50.41,25.04,36.34,70.83,,,35.19,35.19,,,,29.36,31.3,77.29,65.45,16.34,32.47
-186586,A. Sima,Abdallah Dipo Sima,24.0,2001-06-17,Senegal,Ligue 1,Lens,https://cdn5.wyscout.com/photos/team/public/66_120x120.png,d72f25,2026-06-30,7500000.0,€7.5M,1189,False,26.0,False,LW,"['LAMF', 'LWF', 'CF']",right,188.0,74.0,False,False,False,Low-impact winger,LW,88.43,89.21,98.36,62.9,73.64,87.53,28.63,7.36,3.31,24.87,14.09,17.83,13.1,2.22,3.17,84.64,15.63,19.3,7.68,35.87,43.05,42.44,28.42,76.11,90.64,29.6,10.11,41.05,67.92,,,35.19,35.19,,,,29.36,31.3,50.76,39.97,77.06,32.47
-179028,A. Fadera,Alieu  Fadera,24.0,2001-11-03,Gambia,SerieA,Sassuolo,https://cdn5.wyscout.com/photos/team/public/196_120x120.png,285730,2028-06-30,2500000.0,€2.5M,1419,False,28.0,True,LW,"['LWF', 'LAMF', 'LW']",right,182.0,71.0,False,True,False,Defensive winger,LW,15.01,15.6,28.38,49.41,29.68,26.51,47.38,70.43,63.97,48.74,38.21,65.13,67.28,61.17,39.06,70.03,65.47,44.06,37.71,64.21,92.49,70.75,32.72,52.27,52.11,87.22,60.66,58.4,12.63,,,35.19,35.19,,,,29.36,31.3,99.33,84.9,56.54,82.66
-169184,Nico Williams,Nicholas Williams Arthuer,23.0,2002-07-12,Spain|Ghana,LaLiga,Athletic Club,https://cdn5.wyscout.com/photos/team/public/60_120x120.png,d13125,2035-06-30,70000000.0,€70.0M,1947,False,27.0,False,LW,"['LAMF', 'LW']",right,181.0,67.0,False,True,True,Dribbler winger,LW,69.11,58.64,66.33,48.1,57.27,70.47,75.15,66.36,77.35,35.57,40.96,45.13,56.18,50.98,30.05,23.42,84.03,86.78,81.13,27.12,75.19,41.74,17.34,52.27,31.72,26.81,10.11,34.63,36.12,,,35.19,35.19,,,,29.36,98.25,34.33,56.98,4.86,32.47
-168722,Ismael Gharbi,Ismael Gharbi,21.0,2004-04-10,France|Spain,"Bundesliga, Liga Portuguesa",Sporting Braga,https://cdn5.wyscout.com/photos/team/public/341_120x120.png,ad3f36,2029-06-30,7500000.0,€7.5M,1235,False,22.012145748987855,True,LW,"['RWF', 'RCMF3', 'CF']",right,173.0,65.0,False,True,False,Defensive winger,LW,71.54,74.26,28.38,41.94,79.83,52.16,52.26,59.93,21.57,63.05,73.36,21.24,29.93,58.41,61.69,63.52,60.25,33.42,48.19,76.51,76.53,73.76,72.97,15.05,8.69,82.32,88.56,47.9,12.63,,,35.19,35.19,,,,29.36,31.3,64.04,79.11,44.01,32.47
-166573,M. Fofana,Malick Martin Fofana,20.0,2005-03-31,Belgium|Guinea,Ligue 1,Olympique Lyonnais,https://cdn5.wyscout.com/photos/team/public/16_120x120.png,13377c,2028-06-30,0.0,No disponible / 0 €,1862,False,27.0,False,LW,"['LAMF', 'LWF', 'LW']",left,169.0,60.0,False,False,False,Goal-scoring winger,LW,48.04,49.6,28.38,75.15,39.93,62.18,35.54,58.21,87.77,68.24,61.78,68.01,78.11,82.44,53.59,67.33,57.2,73.28,67.27,73.41,33.38,89.89,10.89,5.12,2.76,19.65,69.45,18.72,36.12,,,35.19,35.19,,,,29.36,31.3,48.74,68.54,33.46,32.47
-162809,Alberto Moleiro,Alberto Moleiro Gonzalez,22.0,2003-09-30,Spain|Cuba,LaLiga,Villarreal,https://cdn5.wyscout.com/photos/team/public/55_120x120.png,2b3846,2026-06-30,15000000.0,€15.0M,2604,False,34.0,False,LW,"['LW', 'LAMF']",right,172.0,67.0,False,True,False,Low-impact winger,LW,52.47,54.41,28.38,40.4,61.79,49.62,37.1,33.17,30.5,70.16,56.07,44.74,16.63,30.41,32.81,52.91,41.73,56.64,51.53,38.22,24.97,55.46,16.84,13.77,8.23,30.28,10.11,22.76,27.58,,,35.19,35.19,,,,29.36,31.3,49.94,29.11,35.02,32.47
-161640,Hélio Varela,Hélio Sandro  Oliveira Alves Varela,22.0,2002-05-03,Portugal|Cape Verde Islands,Liga Portuguesa,Gent,https://cdn5.wyscout.com/photos/team/public/517_120x120.png,1a4590,2028-06-30,0.0,No disponible / 0 €,1436,False,15.0,False,LW,"['LW', 'LAMF', 'CF']",right,176.0,69.0,False,True,False,Dribbler winger,LW,33.22,33.61,28.38,28.38,37.6,42.95,47.38,62.09,71.85,51.42,25.16,63.8,72.67,59.71,34.68,61.38,80.43,74.34,61.92,38.64,66.68,62.96,79.79,52.27,66.51,19.0,42.12,17.02,61.91,,,35.19,35.19,,,,29.36,31.3,11.32,66.84,55.76,32.47
-161633,João Marques,João Miguel  Vieira Freitas Silva Marques,23.0,2002-02-13,Portugal,Liga Portuguesa,Gil Vicente,https://cdn5.wyscout.com/photos/team/public/1535_120x120.png,ff0000,2029-06-30,3500000.0,€3.5M,700,False,14.0,True,LW,"['LAMF', 'RCMF3', 'RAMF']",right,179.0,74.0,False,False,False,Defensive winger,LW,4.66,5.05,28.38,5.57,38.57,0.38,6.61,4.84,7.05,21.27,34.02,68.01,48.07,15.08,45.36,20.81,9.11,7.75,28.4,96.8,72.72,91.07,37.92,92.47,94.11,70.78,96.82,69.75,12.63,,,35.19,35.19,,,,29.36,31.3,66.6,50.16,92.73,32.47
-161024,Fábio Ronaldo,Fábio Ronaldo  Costa Conceição,24.0,2001-04-28,Portugal,Liga Portuguesa,Estrela Amadora,https://cdn5.wyscout.com/photos/team/public/g-12861_120x120.png,,2027-06-30,1500000.0,€1.5M,1231,False,23.0,False,LW,"['LWF', 'LW', 'LWB']",right,178.0,66.0,False,True,False,Defensive winger,LW,18.98,19.36,28.38,8.83,35.02,21.62,24.49,18.22,43.59,64.02,30.21,55.44,30.35,54.47,42.67,28.88,38.27,27.1,27.47,31.51,66.29,19.78,83.34,45.54,49.82,81.18,10.11,83.86,67.92,,,35.19,35.19,,,,29.36,31.3,21.7,76.33,4.86,32.47
-160590,C. Alcaraz,Carlos Jonas Alcaraz,22.0,2002-11-30,Argentina,Premier League,Everton,https://cdn5.wyscout.com/photos/team/public/37_120x120.png,00359a,2029-06-30,15000000.0,€15.0M,1147,False,24.0,False,LW,"['LAMF', 'AMF']",right,183.0,68.0,False,True,False,Low-impact winger,LW,41.99,42.96,76.5,61.42,37.6,53.74,57.65,22.3,23.69,87.36,58.05,84.55,13.61,64.31,52.69,47.17,11.81,23.29,33.65,70.66,37.87,46.44,58.41,86.83,75.3,64.27,48.36,51.27,70.83,,,35.19,35.19,,,,98.25,31.3,53.93,36.36,90.47,32.47
-158509,V. Barco,Valentín Barco,21.0,2004-07-23,Argentina,"LaLiga, Ligue 1",Strasbourg,https://cdn5.wyscout.com/photos/team/public/g898_120x120.png,0f3078,2029-06-30,0.0,No disponible / 0 €,2461,False,26.471759447379114,False,LW,"['LAMF', 'LB']",left,172.0,64.0,False,True,False,Defensive winger,LW,11.52,12.3,28.38,21.08,48.01,3.09,65.53,28.92,47.47,86.88,100.0,32.66,33.02,37.98,85.13,59.52,9.7,10.7,69.73,95.1,53.33,86.49,89.16,69.07,33.86,89.57,100.0,77.15,66.12,,,35.19,35.19,,,,29.36,31.3,43.28,78.15,44.99,75.12
-157613,A. Ezzalzouli,Abdessamad Ezzalzouli,23.0,2001-12-17,Morocco|Spain,LaLiga,Real Betis,https://cdn5.wyscout.com/photos/team/public/45_120x120.png,1f4627,2029-06-30,9000000.0,€9.0M,1807,False,28.0,False,LW,"['LAMF', 'LW']",right,177.0,73.0,False,True,False,Dribbler winger,LW,50.06,51.61,28.38,69.06,16.86,79.14,79.54,47.34,54.83,47.7,60.94,11.19,28.64,39.53,53.12,90.73,71.88,80.89,82.26,53.0,80.94,72.66,52.89,26.62,56.45,63.13,36.47,64.94,67.92,,,35.19,35.19,,,,29.36,31.3,32.24,69.58,33.46,32.47
-152432,I. Soumaré,Issa Soumaré,25.0,2000-10-10,Senegal|Mauritania,Ligue 1,Le Havre,https://cdn5.wyscout.com/photos/team/public/556_120x120.png,0000FF,2026-06-30,800000.0,€800K,2798,False,32.0,False,LW,"['LW', 'CF', 'LAMF']",right,182.0,78.0,False,False,True,Defensive winger,LW,64.5,60.0,69.91,62.9,44.84,74.22,57.65,31.03,30.5,26.1,11.78,70.06,57.42,31.05,22.7,80.73,42.14,24.72,18.48,80.57,84.41,78.94,46.08,78.84,97.21,52.24,28.61,57.02,76.64,,,35.19,35.19,,,,29.36,98.25,53.04,75.8,11.32,32.47
-150672,S. Mbangula,Samuel-Germain Mbangula Tshifunda,21.0,2004-01-16,Belgium|Congo DR,"Bundesliga, SerieA",Werder Bremen,https://cdn5.wyscout.com/photos/team/public/93_120x120.png,204329,2030-06-30,250000.0,€250K,1083,False,12.465373961218837,False,LW,"['LAMF', 'LW']",right,171.0,65.0,False,False,False,Defensive winger,LW,85.5,86.28,28.38,80.22,94.88,31.82,59.89,24.27,49.08,92.74,72.43,58.42,32.49,32.55,30.93,56.09,36.9,43.32,38.88,45.15,56.07,51.56,53.38,9.61,10.8,62.06,10.11,62.46,50.28,,,35.19,35.19,,,,29.36,31.3,16.13,64.38,29.51,32.47
-149162,Diego López,Diego López Noguerol,23.0,2002-05-13,Spain,LaLiga,Valencia,https://cdn5.wyscout.com/photos/team/public/54_120x120.png,,2027-06-30,14000000.0,€14.0M,3073,False,39.0,False,LW,"['LW', 'LAMF', 'RW']",right,172.0,62.0,False,False,False,Low-impact winger,LW,57.47,60.0,28.38,16.35,67.13,49.62,54.1,58.21,52.78,44.9,47.33,70.69,55.62,41.09,35.93,30.68,19.09,21.42,25.6,44.75,29.28,44.0,64.87,19.8,45.28,57.9,73.62,37.98,28.16,,,35.19,35.19,,,,29.36,31.3,35.53,33.8,38.09,32.47
-145898,B. Barcola,Bradley Barcola,23.0,2002-09-02,France|Togo,Ligue 1,PSG,https://cdn5.wyscout.com/photos/team/public/14_120x120.png,173f69,2028-06-30,50000000.0,€50.0M,2166,False,33.0,False,LW,"['LWF', 'RWF']",right,182.0,73.0,False,True,False,Goal-scoring winger,LW,82.21,82.99,28.38,79.26,41.34,89.12,85.2,70.43,86.94,86.32,83.79,61.5,42.73,91.54,80.23,9.35,29.54,71.59,81.13,24.97,15.56,16.83,33.36,82.69,44.07,20.86,23.02,26.63,31.46,,,35.19,35.19,,,,29.36,31.3,62.07,14.06,50.16,32.47
-144782,K. Fayad,Khalil Fayad,21.0,2004-06-09,France|Morocco,Ligue 1,Montpellier,https://cdn5.wyscout.com/photos/team/public/563_120x120.png,204980,2027-06-30,0.0,No disponible / 0 €,862,False,16.0,False,LW,"['LW', 'DMF']",right,172.0,61.0,False,True,False,Defensive winger,LW,4.66,5.05,28.38,2.62,19.63,14.17,6.61,1.55,4.96,89.09,84.52,39.68,22.01,25.64,33.25,43.85,43.61,15.2,24.93,78.68,69.74,35.25,42.94,92.47,71.31,95.64,66.52,96.65,55.13,,,35.19,35.19,,,,29.36,31.3,70.89,45.52,93.59,32.47
-139032,E. Poku,Ernest Poku,21.0,2004-01-28,Netherlands|Ghana,Bundesliga,Bayer Leverkusen,https://cdn5.wyscout.com/photos/team/public/94_120x120.png,,2030-06-30,1300000.0,€1.3M,616,False,10.0,False,LW,"['LW', 'AMF']",right,172.0,69.0,False,False,False,Goal-scoring winger,LW,95.99,95.99,28.38,75.15,100.0,53.74,85.2,22.3,58.28,93.74,63.09,19.72,11.82,59.71,18.51,93.46,36.03,89.35,78.59,16.96,8.56,47.74,7.4,1.16,1.16,15.67,10.11,34.24,12.63,,,35.19,35.19,,,,29.36,31.3,7.53,45.52,4.86,32.47
