id,name,full_name,age,birth_date,passport_country_names,league,current_team_name,current_team_logo,current_team_color,contract_expires,market_value,market_value_str,minutes_on_field,low_minutes_flag,total_matches,on_loan,main_position,positions_clean,foot,height,weight,goals_avg,non_penalty_goal_avg,head_goals_avg,shots_on_target_percent,shot_efficiency_avg,xg_shot_avg,assists_avg,xg_assist_avg,key_passes_avg,accurate_passes_percent,accurate_pass_avg,accurate_crosses_percent,accurate_crosses_avg,successful_progressive_pass_percent,accurate_progressive_pass_avg,successful_dribbles_percent,dribble_efficiency,progressive_run_avg,real_progression,duels_won,duels_won_avg,offensive_duels_won,defensive_duels_won,aerial_duels_won,aerial_duels_won_avg,successful_defensive_actions_avg,tackle_avg,interceptions_avg,shot_block_avg,conceded_goals_avg,shots_against_avg,save_percent,xg_save_avg,prevented_goals_avg,goalkeeper_exits_avg,gk_aerial_duels_avg,direct_free_kick_taker,direct_free_kicks_on_target_percent,corner_taker,penalty_taker,penalties_conversion_percent,fouls_avg,foul_suffered_avg,yellow_cards_avg,red_cards_avg,player_role
-672356,B. Madjo,Brian Madjo,16.0,2009-01-12,England|Luxembourg,Ligue 1,Metz,https://cdn5.wyscout.com/photos/team/public/73_120x120.png,7a170f,,0.0,No disponible / 0 €,166,True,4.0,False,FW,['CF'],right,193.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-672261,Z. Eloge Gueu,Zabi Patrick Eloge Gueu,19.0,2006-09-24,Côte d'Ivoire,Ligue 1,Reims,https://cdn5.wyscout.com/photos/team/public/568_120x120.png,d12d1f,,0.0,No disponible / 0 €,22,True,2.0,False,MF,"['LCMF3', 'LCMF']",unknown,191.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-671309,C. Kofane,Christian Michel Kofane,19.0,2006-07-26,Cameroon,Bundesliga,Bayer Leverkusen,https://cdn5.wyscout.com/photos/team/public/94_120x120.png,,2029-06-30,0.0,No disponible / 0 €,452,True,10.0,False,FW,"['CF', 'LAMF']",unknown,,,0.4,0.4,0.0,42.86,-0.20999999999999996,0.61,0.0,0.05,0.0,83.64,9.158579999999999,0.0,0.0,50.0,0.2,66.67,0.40002000000000004,1.0,1.4,23.4,4.3804799999999995,21.88,17.65,33.33,1.193214,1.99,0.0,1.39,0.2,,,0.0,0.0,,,,False,0.0,False,False,0.0,2.59,0.8,0.6,0.0,No role assigned
-668083,A. Felli,Alessandro Felli,13.0,2011-01-01,Italy,SerieA,Cagliari U14,https://cdn5.wyscout.com/photos/team/public/g-15314_120x120.png,,,0.0,No disponible / 0 €,9,True,1.0,False,LW,['LAMF'],unknown,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-660568,T. Tati,Tylel Tati,17.0,2008-01-19,France,Ligue 1,Nantes,https://cdn5.wyscout.com/photos/team/public/557_120x120.png,2e7134,2028-06-30,0.0,No disponible / 0 €,1174,False,12.0,False,CB,['LCB'],unknown,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.08,40.629388,100.0,0.08,55.88000000000001,2.9113480000000003,100.0,0.31,0.61,5.82,58.97,5.2896090000000004,55.56,73.58,50.0,0.9200000000000002,7.51,0.23000000000000004,4.29,0.54,,,0.0,0.0,,,,False,0.0,False,False,0.0,0.9200000000000002,0.4600000000000001,0.23000000000000004,0.0,Low-impact CB
-640189,Jan Virgili,Jan Virgili Tenas,19.0,2006-07-26,Spain,LaLiga,Mallorca,https://cdn5.wyscout.com/photos/team/public/46_120x120.png,FF0000,,0.0,No disponible / 0 €,492,True,8.0,False,LW,"['LAMF', 'LW', 'RW']",unknown,177.0,,0.0,0.0,0.0,37.5,-0.09,0.09,0.37,0.24,0.55,79.07,18.660519999999998,44.44,0.7332599999999999,83.33,1.8332600000000001,45.24,3.4744319999999997,4.21,6.41,41.09,9.69724,32.5,55.56,53.33,1.461242,4.21,0.0,1.46,0.0,,,0.0,0.0,,,,True,0.0,True,False,0.0,0.55,1.28,0.0,0.0,No role assigned
-639193,F. Cham,Fallou Cham,19.0,2006-01-14,Italy|Senegal,SerieA,Hellas Verona U20,https://cdn5.wyscout.com/photos/team/public/g28209_120x120.png,445395,,0.0,No disponible / 0 €,233,True,5.0,False,RWB,"['RWB', 'RB5']",unknown,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-638942,A. Zossou,Aristide Zossou,20.0,2005-06-14,Côte d'Ivoire,Ligue 1,Dunkerque,https://cdn5.wyscout.com/photos/team/public/g5582_120x120.png,0000FF,,0.0,No disponible / 0 €,21,True,2.0,True,RW,"['RW', 'LW']",unknown,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-627208,Marc Domenech,Marc Hidalgo Domenech,18.0,2006-12-01,Spain,LaLiga,Mallorca,https://cdn5.wyscout.com/photos/team/public/46_120x120.png,FF0000,2029-06-30,0.0,No disponible / 0 €,482,True,14.0,False,RW,"['RAMF', 'CF', 'RW']",left,,,0.0,0.0,0.0,0.0,-0.05,0.05,0.19,0.15,0.56,60.27,8.214801000000001,27.27,0.559035,53.85,1.3085550000000001,36.36,0.7453799999999999,0.19,2.62,39.13,5.039944,23.08,70.0,38.46,0.934578,4.85,0.19,2.05,0.0,,,0.0,0.0,,,,False,0.0,False,False,0.0,0.75,0.75,0.0,0.0,No role assigned
-626766,R. Matondo,Rudy Matondo,17.0,2008-03-13,France|Congo DR,Ligue 1,Auxerre U19,https://cdn5.wyscout.com/photos/team/public/g19614_120x120.png,,,0.0,No disponible / 0 €,425,True,15.0,False,MF,"['RCMF', 'RCMF3', 'AMF']",unknown,,,0.0,0.0,0.0,0.0,-0.02,0.02,0.0,0.0,0.0,88.32,25.621631999999998,0.0,0.0,72.22,2.7515820000000004,0.0,0.0,0.42,4.23,47.56,8.256416,36.0,62.16,25.0,0.4225,7.84,0.64,2.33,0.21,,,0.0,0.0,,,,False,0.0,False,False,0.0,2.12,1.69,0.64,0.0,No role assigned
-607857,Thomas Rodrigues,Thomas Ferreira Rodrigues,16.0,2008-09-19,Portugal,Liga Portuguesa,Vitória Guimarães U17,https://cdn5.wyscout.com/photos/team/public/g26506_120x120.png,,,0.0,No disponible / 0 €,102,True,1.0,False,DMF,"['LDMF', 'RCMF']",unknown,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-606744,P. Sissoko,Pape Sissoko,19.0,2005-12-16,Mali,Ligue 1,Debrecen,https://cdn5.wyscout.com/photos/team/public/350_120x120.png,,,0.0,No disponible / 0 €,37,True,2.0,True,FW,['CF'],right,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-606331,O. Kouassi,Christ-Owen Kouassi,22.0,2003-04-15,France|Côte d'Ivoire,SerieA,Lecce,https://cdn5.wyscout.com/photos/team/public/187_120x120.png,,2029-06-30,0.0,No disponible / 0 €,242,True,4.0,False,RB,['RB'],right,184.0,78.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-599352,M. Bamba,Mohamed Bamba,20.0,2004-10-08,Côte d'Ivoire,"Liga Portuguesa, Ligue 1",Gil Vicente,https://cdn5.wyscout.com/photos/team/public/1535_120x120.png,ff0000,,0.0,No disponible / 0 €,1058,False,10.829867674858223,False,DMF,"['RDMF', 'DMF']",left,188.0,,0.08829867674858223,0.08829867674858223,0.0,35.71,-0.04905482041587904,0.13735349716446127,0.0,0.0,0.08829867674858223,84.44,35.55655068431001,33.33,0.08501985255198488,66.67,3.571369485822306,77.78,0.5952154933837428,0.2550850661625709,5.611871455576559,55.1,6.892447542533082,60.53,63.04,38.64,1.4481453913043478,6.887296786389413,0.08829867674858223,4.336446124763705,0.16678638941398866,,,0.0,0.0,,,,False,0.0,False,False,0.0,1.2754253308128545,0.6769565217391303,0.2550850661625709,0.0,Box-to-box midfielder
-595092,A. Ceesay,Abdoulie Ceesay,21.0,2004-01-05,Gambia,Bundesliga,St. Pauli,https://cdn5.wyscout.com/photos/team/public/343_120x120.png,,,0.0,No disponible / 0 €,278,True,14.0,False,FW,"['CF', 'RWF']",unknown,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-593542,Manu,Emanuel Fernando Candimba Gonçalves,19.0,2005-11-09,Angola,Liga Portuguesa,União Santarém,https://cdn5.wyscout.com/photos/team/public/g-10881_120x120.png,,2027-06-30,0.0,No disponible / 0 €,61,True,3.0,True,RW,"['RW', 'RWF', 'LWF']",unknown,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-588469,Davinchi,Cordón Mancha David,18.0,2007-10-16,Spain,LaLiga,Getafe,https://cdn5.wyscout.com/photos/team/public/56_120x120.png,0634bd,2028-06-30,0.0,No disponible / 0 €,486,True,7.0,False,LB,"['LB5', 'LB']",unknown,182.0,75.0,0.0,0.0,0.0,33.33,-0.02,0.02,0.0,0.02,0.19,67.08,19.996547999999997,45.45,0.92718,54.29,3.5179920000000005,44.44,0.7421479999999999,1.11,7.590000000000001,51.96,9.815244,39.29,69.39,37.5,1.11,13.33,0.74,6.3,0.19,,,0.0,0.0,,,,False,0.0,False,False,0.0,2.41,0.19,0.19,0.0,No role assigned
-587824,N. Kamara,Noham Kamara,18.0,2007-01-22,France,Ligue 1,PSG,https://cdn5.wyscout.com/photos/team/public/14_120x120.png,173f69,,0.0,No disponible / 0 €,85,True,2.0,False,LB,"['LB', 'RCB3']",unknown,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-587101,Valentin Pezzolesi,Valentín Alejandro Pezzolesi,18.0,2007-04-16,Spain|Argentina,LaLiga,Las Palmas,https://cdn5.wyscout.com/photos/team/public/775_120x120.png,0038c5,2027-06-30,0.0,No disponible / 0 €,14,True,1.0,False,RB,['RB5'],right,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-587099,Jose Gonzalez,Jose Carlos Gonzalez Sanchez,,,Spain,LaLiga,Las Palmas U19,https://cdn5.wyscout.com/photos/team/public/g26367_120x120.png,,,0.0,No disponible / 0 €,16,True,1.0,False,DMF,['RDMF'],unknown,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-587091,Sergio Viera,Sergio Viera,20.0,2005-05-08,Spain,LaLiga,Las Palmas Atlético,https://cdn5.wyscout.com/photos/team/public/3598_120x120.png,,,0.0,No disponible / 0 €,103,True,2.0,False,AM,"['AMF', 'RB']",unknown,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-586920,A. Røssing-Lelesiit,Alexander Røssing-Lelesiit,18.0,2007-01-20,Norway,Bundesliga,Hamburger SV,https://cdn5.wyscout.com/photos/team/public/5_120x120.png,ff0000,2026-08-31,0.0,No disponible / 0 €,241,True,7.0,False,LW,"['LWF', 'LW']",unknown,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-582081,A. Kouassi,Kan Guy Arsène Kouassi,21.0,2004-09-11,Burkina Faso|Côte d'Ivoire,Ligue 1,Lorient,https://cdn5.wyscout.com/photos/team/public/62_120x120.png,e68734,2029-06-30,0.0,No disponible / 0 €,1191,False,13.0,False,LB,"['LB5', 'LWB']",left,178.0,,0.08,0.08,0.08,33.33,0.07,0.01,0.23,0.15,0.6,79.7,24.029550000000004,26.32,1.1343919999999998,68.18,3.4021820000000003,65.0,1.963,2.95,7.94,54.55,6.802385,53.33,69.77,41.18,0.527104,5.06,0.0,2.8,0.08,,,0.0,0.0,,,,False,0.0,True,False,0.0,0.68,1.51,0.15,0.0,Attacking full-back
-573567,I. Ba,Ibrahima Ba,20.0,2005-05-26,Senegal,Liga Portuguesa,Famalicão,https://cdn5.wyscout.com/photos/team/public/4103_120x120.png,081a35,,0.0,No disponible / 0 €,116,True,2.0,False,CB,"['RCB', 'RCB3']",right,190.0,76.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-566401,Kaly,Domingos José Gabriel Bandeira,21.0,2003-11-27,Angola,Liga Portuguesa,Casa Pia AC,https://cdn5.wyscout.com/photos/team/public/g2892_120x120.png,,,0.0,No disponible / 0 €,4,True,1.0,False,CB,['CB'],right,192.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-564078,H. Ibrahim,Hafiz-Umar Ibrahim,19.0,2005-12-20,Italy,Ligue 1,Reims,https://cdn5.wyscout.com/photos/team/public/568_120x120.png,d12d1f,,0.0,No disponible / 0 €,439,True,11.0,False,FW,['CF'],unknown,,,0.0,0.0,0.0,0.0,-0.21,0.21,0.21,0.019999999999999997,0.21,54.39,6.358191,0.0,0.0,33.33,0.6166050000000001,55.56,1.0278600000000002,1.64,3.49,33.08,8.815819999999997,26.83,55.17,21.62,1.640958,6.150000000000001,0.0,2.87,0.62,,,0.0,0.0,,,,False,0.0,False,False,0.0,2.26,0.21,0.21,0.21,No role assigned
-562995,J. Monga,Jeremy Monga,16.0,2009-07-10,England,Premier League,Leicester City U18,https://cdn5.wyscout.com/photos/team/public/2261_120x120.png,2a429a,,0.0,No disponible / 0 €,151,True,7.0,False,LW,"['LAMF', 'RAMF', 'AMF']",unknown,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-560765,J. Vignolo,Julián  Vignolo,18.0,2006-12-07,Argentina,Ligue 1,Toulouse,https://cdn5.wyscout.com/photos/team/public/71_120x120.png,634077,,0.0,No disponible / 0 €,22,True,2.0,False,LW,"['LWF', 'LW']",right,181.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-560491,W. Mike,Wisdom Okpako Mike,17.0,2008-09-24,Germany|Nigeria,Bundesliga,Bayern München U19,https://cdn5.wyscout.com/photos/team/public/g19348_120x120.png,da314b,,0.0,No disponible / 0 €,23,True,2.0,False,FW,"['CF', 'LW']",both,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-560145,Y. Zabiri,Yassir Mohammed Zabiri,20.0,2005-02-23,Morocco,Liga Portuguesa,Famalicão,https://cdn5.wyscout.com/photos/team/public/4103_120x120.png,081a35,2028-06-30,0.0,No disponible / 0 €,87,True,5.0,False,LW,"['LAMF', 'RAMF']",right,177.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-559962,S. Becerra Gómez,Samuel Becerra Gómez,19.0,2006-06-01,Spain,LaLiga,Rayo Vallecano B,https://cdn5.wyscout.com/photos/team/public/2699_120x120.png,FF0000,,0.0,No disponible / 0 €,27,True,3.0,False,DMF,"['LDMF', 'LW', 'AMF']",unknown,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-558625,M. Mane,Mateus Mane,18.0,2007-09-16,England,Premier League,Wolverhampton Wanderers,https://cdn5.wyscout.com/photos/team/public/319_120x120.png,,,0.0,No disponible / 0 €,32,True,2.0,False,FW,"['CF', 'RCMF']",unknown,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
